name	group	day	location	trt	window	trt_window
d2_jc_ther_026	d2_jc_ther	2	jc	ther	early	early_ther
d2_jc_ther_027	d2_jc_ther	2	jc	ther	early	early_ther
d2_jc_ther_028	d2_jc_ther	2	jc	ther	early	early_ther
d2_jc_ther_029	d2_jc_ther	2	jc	ther	early	early_ther
d2_jc_ther_030	d2_jc_ther	2	jc	ther	early	early_ther
d35_cc_ctrl_091	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl
d35_cc_ctrl_092	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl
d35_cc_ctrl_093	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl
d35_cc_ctrl_094	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl
d35_cc_ctrl_095	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl
d35_cc_ctrl_096	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl
d35_cc_ctrl_097	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl
d35_cc_ctrl_098	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl
d35_cc_ctrl_099	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl
d35_cc_ctrl_100	d35_cc_ctrl	35	cc	ctrl	early	early_ctrl
d35_cc_sub_101	d35_cc_sub	35	cc	sub	early	early_sub
d35_cc_sub_102	d35_cc_sub	35	cc	sub	early	early_sub
d35_cc_sub_103	d35_cc_sub	35	cc	sub	early	early_sub
d35_cc_sub_104	d35_cc_sub	35	cc	sub	early	early_sub
d35_cc_sub_105	d35_cc_sub	35	cc	sub	early	early_sub
d35_cc_sub_106	d35_cc_sub	35	cc	sub	early	early_sub
d35_cc_sub_107	d35_cc_sub	35	cc	sub	early	early_sub
d35_cc_sub_108	d35_cc_sub	35	cc	sub	early	early_sub
d35_cc_sub_109	d35_cc_sub	35	cc	sub	early	early_sub
d35_cc_sub_110	d35_cc_sub	35	cc	sub	early	early_sub
d35_cc_ther_111	d35_cc_ther	35	cc	ther	early	early_ther
d35_cc_ther_112	d35_cc_ther	35	cc	ther	early	early_ther
d35_cc_ther_113	d35_cc_ther	35	cc	ther	early	early_ther
d35_cc_ther_115	d35_cc_ther	35	cc	ther	early	early_ther
d35_cc_ther_116	d35_cc_ther	35	cc	ther	early	early_ther
d35_cc_ther_117	d35_cc_ther	35	cc	ther	early	early_ther
d35_cc_ther_118	d35_cc_ther	35	cc	ther	early	early_ther
d35_cc_ther_119	d35_cc_ther	35	cc	ther	early	early_ther
d35_cc_ther_120	d35_cc_ther	35	cc	ther	early	early_ther
d35_ic_ctrl_091	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl
d35_ic_ctrl_092	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl
d35_ic_ctrl_093	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl
d35_ic_ctrl_094	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl
d35_ic_ctrl_095	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl
d35_ic_ctrl_096	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl
d35_ic_ctrl_097	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl
d35_ic_ctrl_098	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl
d35_ic_ctrl_099	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl
d35_ic_ctrl_100	d35_ic_ctrl	35	ic	ctrl	early	early_ctrl
d35_ic_sub_101	d35_ic_sub	35	ic	sub	early	early_sub
d35_ic_sub_102	d35_ic_sub	35	ic	sub	early	early_sub
d35_ic_sub_103	d35_ic_sub	35	ic	sub	early	early_sub
d35_ic_sub_104	d35_ic_sub	35	ic	sub	early	early_sub
d35_ic_sub_105	d35_ic_sub	35	ic	sub	early	early_sub
d35_ic_sub_106	d35_ic_sub	35	ic	sub	early	early_sub
d35_ic_sub_107	d35_ic_sub	35	ic	sub	early	early_sub
d35_ic_sub_108	d35_ic_sub	35	ic	sub	early	early_sub
d35_ic_sub_109	d35_ic_sub	35	ic	sub	early	early_sub
d35_ic_sub_110	d35_ic_sub	35	ic	sub	early	early_sub
d35_ic_ther_111	d35_ic_ther	35	ic	ther	early	early_ther
d35_ic_ther_112	d35_ic_ther	35	ic	ther	early	early_ther
d35_ic_ther_113	d35_ic_ther	35	ic	ther	early	early_ther
d35_ic_ther_114	d35_ic_ther	35	ic	ther	early	early_ther
d35_ic_ther_115	d35_ic_ther	35	ic	ther	early	early_ther
d35_ic_ther_116	d35_ic_ther	35	ic	ther	early	early_ther
d35_ic_ther_117	d35_ic_ther	35	ic	ther	early	early_ther
d35_ic_ther_118	d35_ic_ther	35	ic	ther	early	early_ther
d35_ic_ther_119	d35_ic_ther	35	ic	ther	early	early_ther
d35_ic_ther_120	d35_ic_ther	35	ic	ther	early	early_ther
d35_jc_ctrl_091	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl
d35_jc_ctrl_092	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl
d35_jc_ctrl_093	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl
d35_jc_ctrl_094	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl
d35_jc_ctrl_095	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl
d35_jc_ctrl_096	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl
d35_jc_ctrl_097	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl
d35_jc_ctrl_098	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl
d35_jc_ctrl_099	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl
d35_jc_ctrl_100	d35_jc_ctrl	35	jc	ctrl	early	early_ctrl
d35_jc_sub_101	d35_jc_sub	35	jc	sub	early	early_sub
d35_jc_sub_102	d35_jc_sub	35	jc	sub	early	early_sub
d35_jc_sub_104	d35_jc_sub	35	jc	sub	early	early_sub
d35_jc_sub_105	d35_jc_sub	35	jc	sub	early	early_sub
d35_jc_sub_106	d35_jc_sub	35	jc	sub	early	early_sub
d35_jc_sub_107	d35_jc_sub	35	jc	sub	early	early_sub
d35_jc_sub_108	d35_jc_sub	35	jc	sub	early	early_sub
